RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30
102001,0,United States,country,,1217.1814454486464,1222.7670443635732,1228.8490969432228,1233.804275389182,1238.3605484732273,1242.5152806142728,1247.241769514982,1252.4108759220233,1257.9607680484226,1263.389342110216,1268.5045835919293,1273.1073427762149,1276.8149915761137,1280.0891423391238,1282.207667553688,1285.716210902123,1289.4089285340906,1294.2506247773642,1298.2020613865338,1302.3110342854789,1306.1268643864566,1310.0131976774014,1313.5434804545555,1316.8444822550284,1321.7549766123068,1327.4005474641117,1334.4666866193816,1339.5846349419064,1344.4845915185588,1348.418222143525,1352.6139614645651,1356.2174457149688,1360.8998399408997,1364.988732825854,1369.7494124709497,1374.6111152715703,1379.7037557001622,1384.90654606825,1389.1659641848862,1393.8311236937168,1397.7059193456937,1402.318114545828,1407.079264693788,1412.381596455653,1416.7820888144527,1422.0360304956994,1427.7915703072379,1433.498067496961,1437.8978767077197,1441.5259573688256,1445.9213649188719,1450.7667809270147,1456.3691572809164,1461.6834430246736,1466.9502100197296,1472.0654520948494,1477.4133232377842,1482.4044273836969,1486.788584020765,1491.2739716674178,1496.4148318330947,1502.020093975021,1506.5544869041305,1504.153118280827,1499.4304771907578,1495.368205269138,1495.8015596596413,1495.9142537545024,1496.6930072194568,1500.3515033743654,1506.389676424521,1514.1841572138492,1523.8619230111092,1534.4522500817866,1546.70722289092,1563.0554413221093,1584.2887595098066,1608.7333489377681,1633.9378879805802,1661.0398519383075,1687.9297974326282,1710.9608839590628,1730.5794183506293,1748.0357958644147,1762.7977925884038,1777.5867370057854,1789.9208708232388,1805.7272785453356,1820.3728868334317,1835.8662014129613,1847.4743465532688,1855.9604841247694,1861.7500947429528,1866.0348279584168,1870.3707977482277,1876.0024622162211,1881.486934059868,1886.94639449263,1894.67696036715,1900.2268683220984,1905.1157242886816,1906.3668594621345,1909.7473019663612,1913.8688517103471,1918.8140234671898,1924.8196041530593,1929.9013745460945,1935.6782356790563,1941.4299307996932,1947.6602009156798,1953.07067255316,1959.137371880953,1963.1020721059547,1968.3885839812112,1973.3824096367061,1978.6537911382782,1984.3539201127933,1990.3992793407372,1997.4159485531575,2003.2556094525899,2009.2974184057737,2014.564136273137,2019.4556084134028,2023.7238908193956
394913,1,"New York, NY",msa,NY,2319.451448494521,2335.005964957212,2348.5197928286193,2358.719771372392,2362.7859342701954,2366.918819966314,2371.4440813725714,2380.0641137938283,2388.5341786709914,2396.8327937257613,2401.45667710437,2406.5512438102824,2409.8937207196373,2413.576959630473,2414.2766966030226,2415.9511414955286,2418.8763962868084,2422.7587748411056,2428.730609880649,2431.503991413323,2436.197949652515,2440.8733798062963,2450.254406761538,2453.498976772475,2456.4460039419364,2456.2269662170897,2460.3979744622916,2463.1907989109754,2468.615122425471,2471.698313419454,2475.2915628515584,2476.663379304979,2479.5963061994075,2478.8675268008546,2479.0102552506096,2481.1643081936636,2486.4968867707557,2491.726214220126,2496.0896864537667,2503.9359690482206,2508.888256920354,2513.484561185895,2517.9601450837754,2526.214361519883,2533.261229851263,2537.884066310729,2544.503324891749,2550.375460038197,2557.5550918065196,2563.546678570877,2570.1356895172303,2574.892301887215,2580.829349714829,2588.2786930438583,2595.488199071755,2601.691795471943,2608.027764644623,2618.327297509569,2626.175467500178,2635.2008043084493,2642.1313701597387,2651.062248203018,,,,,,,,2411.624775797637,2398.3035845554496,2397.7313555724663,2400.806334630165,2408.9976195374406,2420.6207362277373,2439.723728447545,2470.4428822534937,2510.1184763428773,2558.6849106431605,2617.151869610228,2677.0771212557192,2730.699033999988,2778.3444555182436,2818.1926587572984,2851.2247371172593,2879.2515908423607,2905.8906320835845,2933.763752144665,2965.4365215344706,2999.158670203086,3031.5689023432196,3057.2200865586956,3074.2336608371475,3082.181818581107,3085.053610074288,3087.203576243227,3093.3937289065075,3101.6982326781667,3114.385137318323,3130.652424951354,3142.5919305736265,3151.362678030009,3158.9166846935495,3167.7793117437423,3181.347134067975,3192.2720773828964,3199.7319693617487,3207.9168611338478,3219.981624328398,3233.4893664186375,3247.302010656662,3257.9029787269105,3263.481170064908,3268.704773512639,3273.6620276993435,3279.2055420825964,3285.2033012617326,3298.8095894916432,3318.35483874121,3338.703803820957,3354.963880010154,3369.565393907965,3381.587780964275,3393.6591098547156
753899,2,"Los Angeles, CA",msa,CA,1805.3773634105523,1815.4719368908495,1827.4569056629198,1837.2085180243735,1845.226997164406,1853.2518770146207,1863.322514903748,1874.5138565743084,1887.3245642487577,1898.3349594806255,1910.899315245649,1922.6219740779434,1932.6075156799147,1940.8223453854628,1946.939148217029,1953.7192878226545,1962.3089276120197,1972.5745121976058,1983.070397015676,1990.9278739482024,1999.3315058929493,2006.77387602194,2014.393226926321,2022.7547062279614,2035.7526398165273,2049.340570740939,2064.706335105884,2075.657247851065,2085.1781528191855,2092.077036931227,2099.763640758138,2106.2767416125976,2114.403950032936,2121.601173981085,2131.3462252261393,2140.172072592672,2150.253981270804,2160.1024457853464,2165.787625233241,2172.4363282033896,2176.913739912019,2186.402143360173,2194.8221006690906,2205.074588807137,2212.808613874452,2221.624914444572,2230.3995379179037,2238.4821561011786,2243.411636757523,2247.507946424182,2254.50826013823,2262.775535065144,2272.904686900256,2279.838332022042,2286.789595571147,2293.1683165397235,2300.2023219376256,2306.87730604976,2311.9887534421696,2317.7845674194273,2324.276546326546,2331.269097081051,2326.727733787838,2318.2056155030605,2308.1037193157663,2299.096493879136,2293.6723020811214,2286.934512823609,2285.0118332024263,2289.093939236272,2296.4794705980225,2302.472661431392,2312.8162943972006,2323.0335254607776,2336.6447730968484,2350.3644631400725,2371.153370199695,2401.8073797252378,2439.448715545238,2484.0704084185595,2523.0365125484195,2554.2714137177377,2579.199332369656,2606.437306733853,2629.950713204198,2655.4037059536745,2676.5890502235047,2705.2333054808387,2728.5453860055936,2747.3741722308773,2758.0196392850285,2765.0687159692975,2770.7517267539265,2774.068262475746,2779.339205406396,2784.187124304681,2784.711859736773,2787.5295661149285,2795.214322482847,2806.1454574040463,2810.3567121394276,2811.9514103241304,2816.1324937578747,2822.671436656794,2827.5370626312174,2835.077289101576,2838.2061926744336,2845.3377346572265,2847.2073537398483,2852.5076359840536,2857.8585905357318,2869.4690771343976,2875.1097680669036,2882.54208047446,2890.146175659122,2896.040433773601,2904.876031148227,2914.119502281869,2926.811052762755,2935.9048622814744,2951.5734362307494,2962.8978885171227,2972.45031645212,2973.941749045221
394463,3,"Chicago, IL",msa,IL,1455.978142283151,1457.4279400830353,1461.77245624945,1465.8256707198796,1470.6098781877504,1473.687626846582,1476.4898547413447,1480.588982061047,1484.1055672774,1489.1493559032976,1493.9686807202474,1499.5026249474683,1503.2085661978415,1505.8594189161668,1507.8365688366234,1508.9359083760328,1510.4870065246082,1513.6779221380953,1518.9584490995946,1525.529079798094,1528.3569598457564,1531.3205330999663,1530.747424806711,1530.5928648286063,1532.3247835775755,1538.6759446283968,1547.0399168630163,1553.4528067047017,1558.178012819456,1559.572618518071,1560.7515089816643,1559.785970962024,1564.0986859929912,1565.7631706094921,1570.5248884350742,1573.7134519458425,1577.7939670078497,1581.4601724146248,1583.076583566306,1585.7144758703796,1588.3822830200234,1593.4309200301404,1598.0532063508283,1601.0820101675965,1601.583600362623,1603.206451329444,1606.9953478779066,1614.1830082683289,1618.7409936834122,1621.4888717282622,1624.3392224542113,1627.6203899762234,1631.699235457867,1635.320886161415,1639.0706617195665,1644.862875480898,1650.862817202676,1657.2809963639181,1661.2940994769901,1663.416512261578,1666.906895582485,1671.205407321887,1675.8294387019096,1667.202379423314,1657.0556999411056,1648.4232590623235,1645.2284423125323,1642.6730119015378,1638.0504405382142,1631.1843276396016,1626.6411435224068,1626.7190956379063,1627.3520506082855,1632.7036099692762,1639.6496880829015,1656.205861351421,1673.3534967481512,1691.9363881762124,1707.6132975880462,1723.4672198171875,1740.8691145676057,1756.4428285656384,1772.1089620210676,1786.269596055009,1800.0755563836155,1810.3106518622492,1821.0200170034816,1833.33858068948,1848.25468573719,1860.5323060656183,1873.282504987632,1883.8201835685545,1895.0818630469134,1906.5197553320297,1916.2534832737051,1925.3349252993123,1933.74147407462,1943.3642987546827,1953.4839800293594,1960.1679134298477,1969.0658419032602,1978.0912465497972,1987.5662016767528,1997.6665615471004,2004.7826733253776,2010.9600537131746,2016.210992726719,2025.350102193682,2036.5176932441716,2046.7359594581426,2055.0489406911074,2064.5892328226905,2070.810855196334,2078.1801166577493,2085.7242456613294,2094.1294432965724,2104.4635276207778,2116.137837620462,2129.474493141774,2140.386624279883,2150.259551950349,2161.076203839816,2173.2057431990743,2185.709319714959
394514,4,"Dallas, TX",msa,TX,1117.4103419323742,1121.403848608468,1125.5296686467393,1132.71654293761,1137.6583831140053,1142.9370988730377,1147.1869689334876,1151.9894063328793,1157.2936941026271,1162.4735462352783,1168.0012699393517,1173.448205793313,1176.9945938130268,1181.8213530347905,1185.2780849166547,1190.9280944035163,1194.4470971601095,1199.1821072796622,1203.181521463203,1208.4885902254648,1213.4672657327244,1218.8766981918495,1222.8623162862225,1226.9461005002947,1233.123972847284,1238.084482202797,1245.9977304554018,1250.3389484105164,1258.203529074428,1261.3573593172819,1265.7508892905378,1269.0707548827993,1272.9211100051893,1275.298787073026,1280.6703734010139,1285.241094825743,1290.939687164418,1295.531362856729,1297.077455423405,1299.7651242631182,1300.3847456272263,1305.7533269831035,1309.907214408034,1313.8408673619153,1316.4163601281646,1322.4655045671298,1327.5342729376202,1334.3754531530767,1337.2592322723551,1339.6848714818943,1344.6109068695127,1349.723520247741,1355.0663517655976,1358.6409929096612,1362.5713399916729,1366.7232429082862,1371.544552260701,1374.128683221223,1376.124530908511,1376.9628101978692,1379.7385318814243,1383.4483252805896,1390.0375594907562,1387.917027616004,1384.0230178823915,1379.0370684137308,1378.7019511852272,1380.5944884176142,1385.7876358966153,1393.8067140823757,1401.723487461926,1411.5607409645775,1421.127965644558,1433.0418402926466,1442.6724886369843,1459.1617554543186,1478.8595332440786,1504.3357494588668,1530.897150968551,1559.262867315315,1586.1325510321801,1608.7448356660475,1629.693440414195,1648.3713887398649,1664.3070451101037,1677.4683629892404,1688.7400613707377,1704.5000902628337,1720.4539325555095,1739.8999287941288,1751.7693013199605,1756.1243920309614,1755.2665953981532,1750.928337808528,1750.1988372119283,1751.0780460031858,1755.277573282264,1758.8726183703834,1766.3187695430438,1765.8885921827268,1765.6513470470154,1759.625035683163,1758.8536298588922,1757.6726540557343,1758.6807072558195,1761.1568961340456,1763.6437096118846,1764.8105566726063,1765.0548099570958,1762.8089888966676,1761.102941269176,1760.6992269752118,1759.4928744067,1759.4357181051687,1758.466085083242,1760.6036362323232,1763.4508724995474,1767.2825474393046,1769.4457737096357,1771.944713233468,1773.9355773818734,1778.42000171711,1781.069206011965,1785.3149689457703
394692,5,"Houston, TX",msa,TX,1233.334104738436,1235.8548463472634,1240.783616875645,1242.7894641662147,1244.8526296017649,1246.7593954725448,1249.4081956007797,1253.201873425533,1254.629027668148,1255.6747752059343,1257.0786998757553,1257.8811758572092,1260.1152976136552,1260.3466324857013,1262.999959656276,1262.0129548712714,1259.8454377281043,1258.0769309684647,1258.9104890012543,1260.188967916445,1258.1149445634583,1256.9223866346936,1253.7877253429047,1253.7146378654957,1254.9951634326974,1260.6775396144787,1266.016996685898,1267.178937362764,1270.644393371918,1270.315697796488,1272.3226450686575,1271.5544229515583,1282.145849108901,1291.7782116601961,1303.8464077982915,1310.7824984998715,1314.8501924487305,1318.8524518002207,1317.2215356924767,1321.0378723485069,1320.1142522292541,1323.651927179629,1324.609248852331,1327.5852980982986,1327.6038145768227,1329.530504778422,1331.9616195012457,1332.4795670323274,1333.803054761461,1331.3866262044542,1335.553177044727,1338.4307448273564,1344.0120815503033,1347.9275067613664,1352.1054899384683,1355.9900131284323,1357.315676945083,1357.673103389419,1357.0590549377262,1360.0463744677936,1363.7174877272373,1369.5785443632167,1375.6166163743278,1371.8676440448019,1362.8800928110393,1354.0841582787853,1353.7831917879073,1356.6049828536493,1360.5897615889908,1366.3776879818206,1372.4371696467895,1376.899230447315,1381.6538500467013,1383.566251109296,1389.7831064806596,1401.2324126277056,1419.6898227126833,1441.5996609657502,1460.9553597675745,1481.0202700600594,1497.768109968441,1510.950835024052,1521.9408187256374,1531.9457476064038,1541.183507160423,1551.8065773488884,1559.485132290614,1569.9947202340072,1576.658479228817,1585.6153478568,1591.6044490636802,1595.7683522093691,1597.7581623142291,1598.4518453695284,1599.7862691825285,1603.9305748188872,1609.9070202526368,1616.8639706172455,1624.651840634868,1627.3508758086523,1630.8843069633774,1631.0979707623476,1633.1792782544894,1633.3790303396377,1633.5422006329,1635.1138939461778,1638.1622597998958,1642.3429030791854,1647.0062471773292,1650.1290101388786,1650.7248468702778,1655.3555146874596,1657.7377277761277,1660.4978547058697,1663.3496738149217,1667.9989028409937,1674.103916964186,1680.1111355640467,1684.757744196264,1687.0796412595973,1687.9607285518343,1689.0992347023357,1691.9838653390689,1693.2656700752339
395209,6,"Washington, DC",msa,VA,1725.7322231687424,1730.9789905251018,1735.311076721892,1737.3784875367446,1740.0858510932587,1741.6185838605695,1743.6283175245783,1743.5076567143074,1748.3578648390744,1752.1980125321911,1758.7354849467122,1761.8669309748452,1764.6414392315403,1764.2744633291331,1765.0968063390362,1766.1796067470918,1769.1485020196737,1770.4259168752412,1773.2039840281977,1777.4525586278191,1779.831646711119,1782.8548921809263,1784.165794892672,1787.8531864582396,1792.4902277620856,1800.1374608037477,1805.9773976393124,1810.0377535075895,1810.7057876897636,1813.8760199742858,1815.9563771906642,1818.3211923619574,1822.261036254099,1826.4183924819538,1827.8669238193559,1828.9285263704403,1830.4065196775855,1833.8859601715008,1839.4394685779293,1844.5115942926698,1849.635965666918,1854.0387856535522,1858.9106996769708,1865.9965628538969,1867.5483330668417,1873.8384959404043,1882.3230988198454,1891.322724565186,1894.2514920307894,1896.3352886235566,1898.9865294807978,1903.0096985932332,1908.3868766525438,1913.5908806784114,1918.713494205771,1921.7976689289037,1928.6879642783476,1931.7433382280296,1934.7512784588682,1937.2258185096832,1944.07512897349,1950.153515576216,1958.28873655044,1952.489932718396,1942.2467370411114,1927.8134954388931,1918.3315145291808,1911.5117319828644,1903.5711476422432,1898.0084617558932,1892.523913531329,1891.5885492676155,1895.916924392927,1901.5448220529809,1905.9336085238435,1915.2719608755017,1933.834687964799,1961.025826404627,1987.6473706536024,2014.0583230455288,2038.072811209636,2061.9195474697935,2080.717345544552,2095.546218914965,2102.8318860333543,2111.9332193280097,2121.9870853783295,2137.7753665743044,2152.0348340403366,2166.411478186734,2178.7824749752476,2186.260912852183,2192.012593236549,2191.4449010331696,2193.436860529951,2196.649379850018,2203.052405314564,2211.7192702375387,2224.453926661164,2232.34687756876,2238.7166417610415,2238.8260608473934,2244.2230874580605,2251.708104464565,2261.5767320676955,2274.380081444123,2284.6804761787607,2294.310953802424,2301.311267664101,2310.553978483211,2319.071118647903,2330.9506587383944,2337.9154946517283,2348.02092309952,2355.1140186658245,2363.0545124628798,2370.5761320852616,2378.791159913445,2388.5897760532916,2398.757631353371,2410.565251892302,2418.7539129213933,2425.023821330092,2429.4745796386455
394974,7,"Philadelphia, PA",msa,PA,1260.4443432599953,1263.750741386292,1270.8433823708826,1273.5148687730043,1276.281541738116,1277.025072475811,1280.4632604638377,1283.267619783196,1287.1910317061968,1290.7666100883096,1291.068813460098,1292.1949538767308,1292.331742855193,1297.3460209769569,1299.6016743244427,1303.7387806370944,1306.9936950737783,1313.0330390994438,1316.1396053768294,1318.8347660210225,1320.46605330161,1322.991568543134,1328.9576892685773,1332.8460504275927,1337.0905745955029,1339.150577707589,1343.2662356384258,1346.5511386351907,1349.0746956366006,1349.1038044613201,1351.7521213630116,1355.7331198979616,1360.7546900760356,1364.5430498410926,1366.9459550587703,1373.2613482007857,1376.7878922904538,1380.9560338119802,1383.2721118120132,1387.1632308179828,1392.62549295258,1395.7780968305024,1398.9995681083037,1402.5146583231544,1407.2749710415194,1413.218548921071,1420.0528218867503,1422.795552959678,1427.933901452886,1430.071902156012,1435.6173763163533,1440.1653933145974,1444.1459911455358,1450.7252623838162,1456.5588720304622,1461.6925747389987,1465.6258597953017,1469.1587964292369,1472.1988310080872,1476.9875179157225,1481.4306603315565,1488.3051800748472,1493.0979439369569,1493.2560000738292,1490.163521576648,1488.1393873881623,1491.9827592357638,1494.3804656940054,1499.5779960193092,1503.985413256097,1509.7045541072916,1514.5239923566935,1520.8468703283809,1526.5862551433572,1532.2577635320604,1544.5302805713823,1562.6409238935594,1580.7111427930831,1596.4006554239318,1613.778047840972,1627.6411433251712,1643.6800465841561,1657.8272499155576,1677.7007626904433,1690.5864026487513,1702.509332194047,1710.7657416177542,1721.0297960365422,1730.3854221105062,1741.9136816364596,1750.6521054072005,1756.7989782987056,1760.4017468180682,1761.1213438703844,1764.1726412503326,1764.7575015889395,1770.9236071420385,1773.9196879974747,1784.2213372819326,1790.712599120906,1797.471899798511,1798.6679847919543,1803.0924988312538,1808.3010551771551,1817.6648234250918,1824.3106933714846,1829.1244976638984,1831.1076499707237,1835.3362678052004,1843.851103266631,1852.2164107512724,1860.0506653105351,1863.8824733467707,1870.8137560764028,1876.776598468873,1882.8517413000584,1887.3677440784638,1894.701575744693,1902.369049822848,1911.9684231050364,1918.148821063901,1922.50024290467,1923.7634824479753,1926.448025023518
394856,8,"Miami, FL",msa,FL,1498.8852258268796,1507.8489390244483,1515.2273006368966,1522.841542669788,1530.3851252837449,1537.9266697579865,1544.6266526569734,1551.19028772737,1559.2957235615343,1565.766294618994,1574.7357605329598,1580.923678108134,1587.055815244389,1590.1729392787895,1593.5018619065575,1595.8357132291349,1595.6898003444173,1595.5294440014231,1596.1630066351725,1597.7887372365656,1600.1385811738774,1601.9598753830057,1605.3358165018446,1607.5614605593469,1613.4763137125954,1618.6908804608643,1627.024759030017,1630.773161684309,1633.605229104722,1636.7462053835313,1640.9214788077995,1646.963184510874,1651.6280639836039,1655.346320455754,1655.4151895536827,1657.6749398406887,1661.9318598867856,1667.4688538219077,1671.9495037025551,1676.5502205788193,1681.4448008121522,1686.9908814245339,1692.248972348049,1697.5504839925682,1700.997953470853,1705.2890728903506,1710.1620487602745,1715.9186469671336,1718.5087026602714,1720.0076793888732,1721.7181305222987,1725.9993317042545,1731.216047881245,1735.9565283781083,1740.4633143997007,1743.9800901483202,1749.601876935556,1755.380692587003,1762.353577175052,1768.1459387297095,1774.956011048552,1782.561658352269,1784.1115285852577,1780.1454221960862,1773.0540049343037,1771.062422855192,1771.5233132996009,1773.8123153834813,1778.3615562292998,1791.520859522507,1808.4015376729672,1824.62725118044,1843.616311541265,1869.6912181348491,1900.405602288198,1936.0809339070236,1977.2875266884273,2027.058384479769,2087.3686663255316,2149.919246647986,2208.2311950374074,2254.71756836586,2299.5737347422487,2348.813612607786,2396.557041161484,2435.2871441585607,2473.36840759762,2513.385834447934,2552.510075592855,2577.952082770988,2592.323093223094,2598.449593033688,2605.090523307823,2610.2959790105674,2618.2781510769673,2626.7017287124063,2632.779528575543,2638.619996296441,2642.580784903247,2646.3563017359643,2651.318333371011,2655.246981232945,2656.977134793514,2659.8765394017514,2663.3210010868756,2674.216394791564,2680.680847541482,2682.2304039672595,2683.7703044639215,2690.1557943457706,2698.1762902870028,2705.0087302768407,2704.861687527793,2708.643640711565,2715.4564125296515,2723.494396683819,2730.5149706376724,2733.576649501892,2737.4655549955273,2742.5034579751423,2747.563709750233,2749.425746895124,2749.6358391897884,2749.051895316441
394347,9,"Atlanta, GA",msa,GA,1043.9385866410241,1049.2644280385348,1051.4713760289897,1057.5068706220343,1061.2503601882556,1068.6478321301186,1073.1124384062532,1078.0416434038723,1083.146677068883,1088.424503905611,1092.9879521233443,1098.318032053824,1103.96293567001,1110.032580902692,1115.5571995584557,1118.7988365852943,1123.1810145787929,1127.4684218897346,1134.1047888291876,1140.2991911918411,1145.6539134222073,1151.7903929952054,1156.3558921051272,1160.9575462043833,1165.8238588559745,1172.512545546188,1180.897051957399,1188.4766002056292,1196.1983046486557,1202.785331755732,1210.4203429674442,1216.6464566896138,1223.7421764141598,1225.8551231251258,1232.2091459389944,1236.9374131555137,1245.1354371136254,1250.9066104632936,1257.2574688694822,1264.1646896754037,1270.8652715355927,1276.8473589226605,1282.4548514533294,1287.5220766772786,1292.4133236564617,1303.5219110957935,1313.7473210610403,1323.25422821151,1328.6960875003028,1333.8128122787894,1339.309223756695,1345.0843765879786,1350.7349891128408,1357.3951049055547,1363.276400405702,1370.269429941646,1376.946313990688,1380.883162678188,1383.4791270474177,1387.2736884043327,1392.1527739008766,1397.9088453265501,1405.5643896093052,1407.2040958772243,1407.862857197876,1409.6666975953726,1417.721952191753,1426.1884580669828,1435.907870604888,1447.4706443880186,1461.8085033336429,1477.333777989343,1495.2561587448436,1514.2905949907295,1531.8385212317044,1553.792186333175,1578.5923426428196,1610.514179527698,1641.6932635031897,1676.499609038385,1707.1324809135479,1734.1304075597704,1753.6677289709112,1767.2946712771006,1776.8396461259529,1784.139241945044,1794.3358327903102,1805.8604177988213,1820.4138917106873,1833.7281213776505,1846.3674245824322,1852.7935853147144,1854.912614080573,1853.7751583207103,1855.6807311154098,1862.1791247889785,1864.9550978652608,1867.4368557156058,1873.9904428656328,1878.343334761313,1879.0994990070958,1872.877617124587,1869.2173087523338,1867.1565947850888,1865.090807427258,1864.5593128604412,1863.3393686469751,1864.9724490148135,1869.662777107015,1874.448035856081,1875.209558972455,1876.3983574518468,1876.7575941407074,1880.866339383827,1883.0237528566643,1885.8568382487583,1891.301551694129,1897.4789498053374,1903.8310172602041,1906.612569687918,1909.2256760237608,1912.036959558555,1915.2396400651132,1918.6189208602827
