RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30
3101,0,Los Angeles County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,037,1750.3728855331528,1761.1372741443363,1773.3495022159907,1783.2263092014919,1793.5277974751011,1802.4212375147092,1813.3561651713119,1823.3343054334555,1837.9438320683162,1849.267576254811,1864.5822289984396,1877.0932290763315,1887.8197216039362,1896.9799796524903,1905.5478823926198,1914.6590030952304,1922.7630750179976,1932.3548769475044,1942.6777599694135,1952.049551283353,1960.3930972758778,1968.9115891149058,1975.6161531549787,1985.595259061642,1999.2091400923123,2012.7793258057056,2026.9495801129885,2036.5503133534296,2047.595394552362,2055.6704590735053,2065.032050755645,2071.7082083751798,2079.954678920216,2088.2855482679124,2098.8783234177763,2108.592563361602,2118.563914793924,2130.2558327420966,2135.742342216183,2142.863258769852,2147.7188372904716,2158.8481200198803,2168.603409197474,2179.9613831048364,2188.372908598498,2197.2982037513866,2206.5957057615124,2214.592851729778,2220.887404695394,2224.838010308729,2233.4513391497935,2242.8621461673097,2253.217386383691,2259.551347773747,2265.681700881674,2271.814371367673,2279.096216557881,2285.658603310813,2290.7309371901924,2296.352215040112,2302.1378476581663,2308.5796889860817,2303.8211418472383,2297.222990767479,2288.6852962451385,2280.6297788441243,2275.74396253758,2269.151484243011,2264.204508255596,2263.8498409825697,2268.234989992528,2271.0919801992777,2277.542247803658,2282.907713671308,2292.5666416571694,2303.1125584014335,2320.55954051679,2347.4138932240817,2377.7682770789115,2413.2930411873335,2444.919330542713,2472.678870232517,2494.420537120454,2519.937133045647,2541.833282874999,2567.021303756683,2586.0158233891993,2610.7843477176943,2630.8135381027228,2647.6340944217927,2660.8773022302685,2671.84104771394,2682.3712497305874,2687.4497347650795,2693.513358328119,2698.7773375242423,2701.016504054514,2704.5953813178885,2712.2472065295115,2722.3983201941624,2725.225021521592,2725.9446133087727,2726.560733526433,2730.553093819095,2732.5237149793616,2739.851937494455,2743.1445514039237,2749.5800750058884,2747.612930418831,2749.9011317428053,2754.8698049069144,2769.76827478051,2776.6667695683213,2784.491384303665,2793.124739970583,2799.069855326096,2807.488478827144,2815.0073706582234,2826.1310117107764,2834.2991781549504,2850.9134952725713,2862.8515949368348,2871.7739801642806,2870.4588728491212
139,1,Cook County,county,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",17,031,1526.153843383995,1527.5316122648328,1532.4906314962489,1536.2938119484152,1542.2539361807135,1545.1238502288822,1548.2147949160928,1552.3476825063287,1556.7175539051002,1562.7682330934801,1567.4973695124277,1572.7666416399227,1576.795579738139,1580.5190513366488,1582.6959699766835,1584.0749740789802,1585.08732629952,1588.779737655876,1594.259569846103,1601.9263991111206,1605.5606446619304,1608.7366988222295,1608.3029006983052,1607.8309704817464,1608.9947809319146,1615.1314580803921,1623.9354814716608,1630.8192840984673,1635.3159598331301,1636.452488330567,1637.1813084752685,1635.491843429719,1639.303620190642,1640.5165934956915,1645.2109313775272,1649.0969407600512,1653.9674004009507,1658.4009263167427,1658.8431740498788,1660.7099294833229,1663.312668035764,1668.7688026753062,1673.9575654211849,1676.2220734840723,1675.620911275983,1676.551944060857,1680.5097828522553,1688.0514955279766,1692.596508368962,1695.2544670916423,1698.8536914276585,1702.5796385949222,1707.0243321013527,1710.4873786620815,1714.1132348908347,1720.7726175112994,1727.8515205018432,1735.1519261759602,1739.2598922716288,1741.08154580622,1744.5854571412474,1748.9087539841862,1751.557248418809,1741.001268607401,1728.6980884846628,1718.6494711405637,1713.7066632496715,1708.6143325560902,1701.3129187840864,1690.2682677198477,1682.0024112139124,1680.4713144679413,1679.776477523095,1685.530115972844,1692.5442100023158,1710.7439962875526,1728.8556036376992,1747.700783617623,1762.754755363719,1777.8005460937234,1794.5385924215452,1810.8057143452695,1826.7352460249465,1840.7226511251345,1855.2125735943207,1865.6225076190226,1877.0865363828218,1888.0696504424225,1902.7312897870518,1914.592557751514,1928.1322742698553,1939.7202264792468,1951.7658299641137,1964.6226324553206,1976.3952276064626,1986.7100001008512,1994.9584646713156,2003.0371279066087,2011.4629801019241,2017.4707951013202,2026.5449076476655,2035.9586715780229,2045.5984361870896,2056.2614547497824,2063.6622828540167,2068.753166500193,2072.2454757833075,2080.4975433633567,2091.7323582714816,2102.7879633931757,2110.982175798304,2120.7612437141634,2126.4629678058704,2133.4011024080414,2140.3211830694004,2147.778595257305,2157.5450564527846,2169.19927627066,2182.8687923741923,2193.9395170883245,2203.776483259199,2214.753584177075,2227.7874200876417,2240.854140649999
1090,2,Harris County,county,TX,TX,"Houston-The Woodlands-Sugar Land, TX",48,201,1203.8592601190628,1205.5228420319736,1209.9766875234134,1211.634875866434,1214.3695230337328,1216.820958778859,1219.3771419901382,1223.8401633150734,1225.1705626434566,1227.3173767633077,1228.2243377774064,1229.4942015833612,1231.988041305034,1232.6627364465587,1235.9942700646175,1235.4684801418168,1233.105457095605,1231.086738704867,1232.182426283923,1233.7128481011603,1231.9946289157642,1231.1027899617816,1227.868811084762,1226.9102118935978,1227.8088277714494,1233.7957915550908,1240.1021372747273,1240.0973327446475,1242.9911269579993,1241.9650075405486,1244.6116166650652,1243.7835677882304,1254.1736269628589,1263.9009910878076,1277.0799857065153,1285.605871102462,1289.4791140982456,1293.3700213066948,1290.9322541101728,1295.5485259429424,1294.1750011798977,1297.5032336232844,1297.6490916189503,1300.2172853191516,1300.316484025612,1302.3857099025702,1304.833328234076,1305.1173593459546,1306.1477796815986,1302.7895353444962,1306.9243654127283,1309.6327495890225,1315.7963825724419,1320.1903659442958,1324.562353330753,1328.657493386604,1329.8845276694392,1329.9625266875855,1328.8315538629968,1331.450372533325,1335.5976001524868,1342.2821096259065,1348.741002470783,1344.5032592597377,1335.7380154621496,1325.5665695021416,1325.2608010943213,1326.8766552948746,1330.3165092757374,1334.6749306758584,1339.7868361132903,1343.4297763895445,1347.7427574357378,1350.0262671445519,1355.332477192038,1366.9241892587056,1383.9004896128477,1405.5603939715613,1423.1488997302745,1442.0895911729413,1458.3227535659485,1471.709909332567,1483.0153591232101,1491.6373687658636,1499.8409574909551,1509.3256733237822,1516.9170959780388,1526.141988681837,1532.360002551262,1540.9229139996921,1547.7529620587188,1552.4043717054087,1554.1705941017296,1554.4279363157425,1555.5215901949243,1559.8284483117736,1566.356084086146,1573.0927196282598,1580.5409275595632,1582.649858457535,1585.9388826892655,1586.2472373432995,1588.3461963522925,1588.5285361859203,1588.7730094453952,1590.3200000713905,1593.4869492960045,1597.9792766122769,1602.422929550349,1605.7582033347421,1605.599036528274,1609.9917197825544,1612.5403047262055,1614.9943101500062,1617.332493779134,1621.6063148218627,1627.4924273544798,1633.3871005136393,1637.7267118423779,1639.7983211176424,1640.613469351898,1641.7718681683607,1645.3358284487015,1647.2681929818727
2402,3,Maricopa County,county,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",04,013,965.1733510104037,976.7098343442011,980.9031647136624,990.4518946615294,990.8718734457702,997.041576416015,998.2911160408089,1001.7012207840687,1007.154532150003,1013.6988812527902,1020.072467918649,1025.133061502817,1030.1634017226297,1031.5266605520471,1034.6995925119413,1037.0027053515666,1043.4928976497004,1048.7501632572205,1054.4379828188673,1059.1242855851253,1062.854435795187,1066.0934488467767,1070.276685441244,1074.6259960694204,1081.587371693649,1087.6527442964948,1095.5288383936668,1099.5157101581456,1106.8205109120759,1111.2892980915556,1117.7796951373348,1122.4319759777343,1127.9053754272434,1133.978654558021,1140.270509237337,1145.6100084573925,1151.2085871842457,1155.7157883347693,1164.2004805297793,1172.0510474631878,1180.0551511662127,1187.0054085693084,1194.759297578471,1203.171570884385,1212.350467770533,1221.1312782900297,1229.699103088413,1237.8654255145948,1243.710625024461,1252.4800175206826,1258.2214786300517,1266.9565445970131,1273.5665033856806,1283.0206980862595,1291.1974503603424,1300.3653960479178,1309.034335405102,1318.1702272200837,1327.5444598788324,1338.194272628164,1350.4304926884736,1361.7470140843986,1364.1139958615797,1362.583788144035,1359.4104227683881,1359.5337461292752,1367.479829679606,1379.371216624354,1395.179066020843,1412.8475585431531,1431.3136266105455,1447.5763205377746,1464.5002431342411,1480.340071036507,1501.8396227135488,1530.203499979868,1568.6781780208794,1611.4716764101804,1653.5138615733679,1691.581346786945,1724.5563228678382,1751.9315674133882,1772.6203211292736,1790.100328012911,1805.2427365240092,1818.2886942292157,1828.186247953969,1836.487895921911,1841.559764232461,1844.7824797698818,1843.1226697315462,1839.7471521754646,1832.9568323211952,1828.8923026022694,1827.657649950764,1830.3714856297927,1829.9623657215132,1832.3650534494477,1839.6817500730524,1843.0345178499133,1842.7309928566833,1838.3662468270006,1837.7782664802926,1836.357750194413,1835.856444227089,1837.4229807046281,1838.440849770787,1838.5624831420953,1839.8117733883328,1841.618992060694,1842.133589347561,1844.7711981786867,1845.5063702257667,1848.3340495471168,1849.7572164928158,1852.5883218326471,1856.469243980823,1857.7891271570422,1858.659487444438,1858.2050484470797,1857.9836439010664,1855.6719641454513,1851.7041711355864,1847.3467568496624
2841,4,San Diego County,county,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",06,073,1702.3188136147076,1711.3119577149148,1718.2370870947343,1719.3321073254579,1724.3774115229987,1729.2806772849772,1741.9700140724722,1753.652494533079,1764.9205884895289,1775.1502003551623,1781.4015011751187,1792.776118824131,1799.2469987753402,1805.2860935211575,1810.9068666208882,1818.4547872871697,1825.7549595465814,1836.8839011238367,1845.2160665226327,1853.7780579964656,1860.364592379594,1868.8296579174196,1878.5525264506125,1885.80261347862,1893.26457214318,1905.712764677216,1920.528221299867,1935.7040566323894,1946.5776421613157,1954.4209368181946,1962.2681090275732,1967.6772886856468,1975.2005051334788,1982.2930989959686,1991.2300218693379,1997.6533383947715,2009.2911832728907,2018.9996581760472,2029.539189291523,2036.6759331953654,2045.9391264306676,2052.880376699868,2059.47319845865,2067.661883525516,2077.291540134285,2084.9443733285775,2088.7694768386627,2095.398374149444,2101.418835662695,2108.0450398698904,2110.481379327109,2115.2565382783473,2120.5193326788494,2128.2442079248176,2136.4805350920988,2144.5610316341795,2150.74958984226,2158.215390760197,2167.469728023977,2176.140270462401,2182.75953257849,2188.8884061687627,2189.3957924161004,2180.865258294442,2170.8706103159125,2165.5758089988094,2168.4214708943937,2171.6570651135044,2180.2123285172547,2199.2810462748353,2221.6356368924526,2240.4633493165306,2255.3102842460394,2270.2427007443794,2288.4444623574223,2314.2874427855913,2345.800908634403,2377.349476276414,2417.565090444111,2462.022527055405,2514.7540650374476,2555.048069553542,2592.272373004645,2622.6208986727943,2654.4283457473475,2686.457961576921,2714.7485921401494,2749.0555693530778,2781.146533381118,2816.9888293350236,2838.092550714152,2859.813482226079,2865.9441806507607,2870.70264242989,2868.7592067244245,2876.5683827504768,2883.6553796355743,2894.6773087133492,2912.8429564063395,2930.854535561278,2946.6062128218255,2952.8355079060852,2960.0910436861523,2964.0333112399667,2967.1458859888066,2967.3998507403053,2964.8477817649564,2965.9208177043442,2969.8687279953588,2978.894520278359,2985.4399428082675,2995.109889083745,2991.509269567794,2992.630112696266,2997.2289680466138,3002.2650768151507,3012.61548370286,3027.3657430005464,3047.0836964560326,3059.8051116440215,3069.401508648416,3072.1724782329993,3073.3869018820506,3070.247240444101
1286,5,Orange County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,059,1907.1251747367078,1915.955788354262,1926.3262780195585,1936.2212927013586,1939.2221258582313,1944.6549293912842,1951.7196723108723,1965.549400561594,1974.1376290470334,1985.1929869085213,1989.565159315807,1999.7015294714797,2006.4820954848503,2013.6461142638739,2014.4776312616655,2015.8928024892425,2025.5754998805019,2037.1432379244393,2047.2167493642803,2050.2048639452946,2057.89355255905,2061.608679068711,2071.8016955935477,2073.5172048386567,2084.1935119341115,2094.8974600600873,2111.902908704581,2124.8717414997363,2129.843854562344,2134.426444633426,2137.8380225459523,2145.1644547111164,2152.00224619625,2155.4806538720136,2161.7801214011106,2169.375954831198,2179.633711213232,2183.4412979313283,2188.5567082387647,2192.985422767129,2196.4511238404925,2200.5745388693313,2204.4953070179854,2209.5654364075453,2214.78261458525,2222.679268382833,2229.189964195857,2236.3617594154834,2237.5950283319776,2242.6055121944,2245.220091622746,2250.258891080879,2258.390406794253,2265.6911450158327,2273.897062894922,2280.4707730590235,2286.2639668968914,2292.3525976948113,2296.9407963703597,2302.0075002258786,2308.6407968700246,2315.6718984638096,2317.553650772315,2308.0347708508148,2296.29086743542,2285.930386083723,,2279.505633965538,2286.799360257346,2301.6204971633106,2315.8369398007567,2333.6903398996665,2353.1744629312293,2377.3050958653002,2398.779775686349,2423.8310240280284,2454.623987063337,2497.780160141401,2554.892343614064,2626.3245509116523,2690.902781271009,2736.8773789056277,2772.8163560036123,2800.601346940482,2829.3184505956337,2852.8599927936566,2881.6643764064856,2915.183110368483,2944.8652244716563,2964.9729694428474,2967.484601637469,2960.3787906145803,2949.88252398967,2945.050806274452,2946.8936116221494,2950.137488986513,2950.296450061464,2954.3575616438457,2963.8732985763686,2977.247213783482,2986.6602833420984,2994.148111169906,3008.8043818814303,3023.8408572176522,3035.1916945380904,3043.403992203082,3048.6308810165383,3063.798428459359,3071.589583806694,3081.064392031203,3079.4999138987337,3085.852665870219,3087.4414631610084,3092.197059220033,3096.4203226872837,3101.7083654165203,3112.7499130973833,3127.145152465906,3142.426717802495,3150.548934992212,3165.3015092174574,3177.562578901547,3194.636383718915,3202.752639790222
581,6,Kings County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,047,2299.0186034042545,2314.4563755484714,2334.6735683621887,2345.490272186518,2355.6276031129833,2370.6370415545443,2374.449907165222,2379.789201670205,2391.928140591927,2410.025409558016,2418.5136117395214,2416.3708971005194,2417.083830398907,2422.5414682849055,2428.8523840776606,2426.829790063376,2423.69333701074,2422.952528796064,2429.301486756129,2438.0655094513963,2443.8884829986,2450.1113817199193,2465.354830098001,2473.57913734486,2474.9833254833497,2468.035994964966,2463.275778683488,2468.1928701620814,2469.353613502668,2474.955178137866,2480.362333121116,2486.6331618880376,2485.3977908107186,2478.1799045677526,2474.7521223382455,2482.7806181574942,2492.6160142949693,2497.2755134300055,2499.3284418706494,2507.0412966583212,2513.5591913601384,2519.7413556996985,2519.006934969264,2522.7863726642336,2524.5911108308474,2528.6889101993565,2531.3060401353778,2534.103612545258,2545.8572793463422,2560.9871582186474,2574.1285151905695,2580.7330636487222,2590.794978042588,2598.8657633702855,2611.933504513865,2621.321523014026,2637.0954975709756,2654.6248757514863,2670.760647954656,2683.5439024321604,2690.530911763509,2699.876525446609,2694.433466897587,2678.3621498785747,2648.3686156499493,2608.4192858103493,2574.3879137023396,2536.242135320108,2496.53670784728,2468.45716969442,2454.5578028171108,2454.702935438661,2453.163590079827,2457.0059577777884,2463.5862027776066,2485.303426007372,2509.8263903868597,2547.3980541002215,2585.809716662489,2633.5663578088356,2686.0568020828086,2731.844219067108,2781.5033197704533,2818.4633313768527,2859.985614201553,2890.3347900623608,2925.652341752817,2955.171457266811,2995.153212785675,3034.109162483286,3072.6237861321524,3104.736750831156,3124.223224621713,3142.005946892918,3141.9859081310456,3144.894319225787,3148.152205591924,3155.5664148354213,3160.2426192906564,3169.5293973601683,3177.131862632629,3188.9043509508588,3196.2727406806544,3209.507658040906,3225.3520187661643,3236.167392060026,3239.269844596483,3253.1990855187296,3266.9415756666117,3285.150689778496,3290.26290352175,3295.47053994606,3299.7997546799234,3298.8487904785998,3301.7407761340482,3301.62860065497,3305.108283870396,3314.6493784360505,3337.417962506762,3352.680331171227,3366.6224417898875,3377.1405683913963,3397.836736616192,3417.116077736044
2964,7,Miami-Dade County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,086,1671.5279557401332,1682.3827346723401,1692.3150527103164,1701.230534173323,1708.4697716186595,1715.1312617359831,1722.107627037794,1730.3346729497664,1737.7338546797248,1741.2051345634513,1750.2615264256222,1759.7351631252218,1766.4127775414158,1767.9478533428216,1767.1212690655716,1766.6561378111257,1764.5149490759834,1762.5188652669344,1762.6161455588037,1760.7566866855175,1760.1830339382784,1759.4369827725586,1759.3369362045482,1757.1940270179862,1760.8570962602805,1765.5534244013295,1773.2107573803612,1773.8041100076346,1775.2290980267846,1776.8539455598493,1778.9026443858588,1782.5764016303672,1786.07287114145,1790.183436666774,1790.6332975596056,1792.7757968166463,1795.4506603783907,1800.7606397496197,1803.5249118145507,1808.3346079884816,1810.2296863541444,1815.8442717513353,1821.4596034313356,1828.1330276099193,1832.482919180856,1835.137948167754,1836.7393115620841,1839.529910732514,1841.9745451038955,1842.1912710345882,1843.6540686830613,1847.2351752737043,1853.3642132062664,1856.7969305034133,1859.9057553393004,1862.0198368862225,1866.1047519350857,1871.6354784087284,1879.8637857522394,1887.1832493593408,1893.9127702212154,1901.5111267401744,1893.4992957412205,1883.2478733341438,1871.9444905590158,1866.6973784304294,1866.8940928891966,1867.620499739915,1867.7950477068475,1876.0819525289057,1892.8959122792094,1910.8281538683882,1936.4823743508705,1967.0176200158562,2002.9710079488468,2041.6149450371545,2086.443009088591,2141.5218086451605,2205.8861111564997,2271.305037523685,2336.1841653219267,2390.4992953109427,2441.4786688774934,2496.436480005013,2545.8470431415562,2601.955411734048,2651.5716757931614,2707.802225620007,2753.0339001558773,2787.5509905299773,2810.2841008163496,2825.1234560759663,2838.594694479648,2844.154728924576,2846.4972230573494,2853.0510216573234,2859.142395076833,2861.2439919100666,2861.872273912646,2862.9285107233345,2863.9394048131244,2864.3443149166965,2862.146189014607,2863.3471933511228,2862.76418875653,2871.523857964699,2882.6503775826477,2886.180577984062,2888.2528485706953,2891.08132704424,2902.569337197339,2911.7103146694153,2914.955379849698,2919.496376032125,2927.5710453241363,2934.986113712122,2942.903144258916,2947.886562147104,2951.1519146269757,2955.3918651497665,2960.0969673978475,2962.7618496164214,2959.0385339699333,2953.8392507907156
978,8,Dallas County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,113,1089.8788084202786,1092.985023724619,1097.7616005976527,1107.4327970069935,1115.301363162428,1120.8079307071384,1127.379974661943,1132.086055166925,1138.7173475688035,1143.2165025856812,1150.4810160389657,1156.2915663956544,1162.2777121477782,1167.9383480875904,1173.0839771918018,1178.865206294543,1182.3980322915424,1188.416154295422,1191.6021764452175,1197.9476941787893,1203.5715567009688,1212.8189305170408,1216.863102222814,1222.608983718176,1230.1984333156724,1235.4684865711865,1244.5205681706175,1248.9371981185704,1258.7658358536748,1258.8524185009135,1262.795426363018,1264.2630110459133,1269.8295549007435,1271.4179378028382,1280.9403013199246,1287.796072469126,1292.0630845686637,1297.6358964657961,1296.6286308813467,1298.3052536010123,1294.928558102732,1301.5421254806324,1307.5224549565746,1313.133576713126,1312.6223245171068,1317.9880696002024,1322.6713958896944,1330.4122784663755,1334.3060057508817,1335.0637755514733,1341.6561698689682,1347.919017328252,1355.6349248176812,1359.6469125805525,1362.4561272069657,1365.8080980647405,1371.6475302371691,1373.9229789207623,1373.5523348638105,1371.5751719729615,1373.1520093884787,1376.65486467137,1384.6662506486412,1380.3872685796775,1375.1594389649022,1365.7889345032954,1362.6156754436909,1362.353746673548,1367.7053235573867,1375.7751457483237,1382.7481538888615,1392.908671129113,1399.5386218218673,1410.935325930183,1418.8091132632862,1434.943260780063,1452.9341744703058,1476.3138420631533,1502.835231949441,1530.6170368399935,1556.8456563194875,1578.2416386248292,1598.1390613220974,1615.7300812180295,1632.9436400538284,1648.3725542325178,1660.5147638662418,1676.1335168719058,1692.667251684714,1715.4130893667418,1728.4100621327696,1732.405020854728,1730.6099596906745,1723.9486876794574,1722.1272463605994,1720.6398944781556,1722.8789435656947,1724.8986817071154,1733.2198715697627,1735.5562842746729,1735.902625553211,1727.885935809939,1724.7725472811426,1722.3509883436402,1723.736078667013,1726.7297947794002,1728.2592025637682,1729.4539389390604,1730.5437375708755,1730.4479126657059,1727.0907198448378,1724.4486972753712,1722.5420327051313,1722.6989147662537,1722.8502663492793,1726.1669440330231,1729.2710619451655,1734.0608450801378,1737.7705733122602,1741.7014038658635,1744.0529871202227,1747.6073706207758,1751.5100358631905,1756.90616658796
2832,9,Riverside County,county,CA,CA,"Riverside-San Bernardino-Ontario, CA",06,065,1377.6130947249185,1378.5324222348308,1381.1382644221617,1389.3171451641672,1397.4507192922003,1406.0612104878855,1410.7973556938061,1416.5992345248023,1422.0446742111587,1431.4866512667338,1437.4889714933622,1445.3940737157998,1446.3808610183144,1454.327447761027,1457.7240999059995,1459.2939765194437,1464.1835095382746,1467.272768678208,1476.0852124867097,1480.3104377114703,1492.2457667260837,1497.100550644908,1505.4914159099342,1508.1473711606802,1523.0380784170434,1531.801267243232,1544.208725155841,1555.3082555298906,1564.7228619341113,1575.3084110996892,1581.1044047615912,1591.213089234173,1595.5973336918312,1600.8587331811445,1606.5378583757822,1613.324548382904,1623.0709149002573,1634.4048868838124,1644.5613106842188,1647.9656665868943,1650.1751714120219,1656.3436016032963,1665.0849789076813,1673.525919136149,1683.7427047304695,1695.5105869626161,1705.1679098277534,1714.5249198615027,1718.2795145186683,1720.8376973371794,1724.9669571630884,1735.3349269120818,1746.7782464892982,1754.9138782997652,1762.2878316877777,1768.611062126722,1774.6504269265338,1780.3736193798754,1786.8805958408773,1794.266813513795,1802.0469673932887,1811.0569788166868,1811.7057209780958,1813.5548745424314,1810.77063829587,1819.7472047290057,1833.3038594284658,1856.1288925065057,1878.9902822834238,1907.0989519856512,1934.996778013052,1965.1598257658286,1991.2396452976514,2017.8903659769946,2041.1204027891092,2063.5423880716517,2101.7001497182214,2137.5855569448186,2182.8961303108154,2217.0642537341923,2251.4339234992303,2274.621904777488,2299.1089240461,2314.0424562774906,2341.1402797262735,2359.947304821521,2391.377510267045,2419.840480063119,2438.0993166932335,2454.2190190684596,2458.1680709635284,2463.941182445916,2465.3396056371807,2461.5419411874836,2462.005280841111,2461.774594635397,2468.1040779605323,2473.8719851442197,2482.4921612361013,2489.296916537036,2493.1291113874995,2493.977629236112,2493.0116843120686,2501.0069909640238,2502.02485207604,2521.9975448242976,2529.2551280528924,2536.7383222876383,2527.0618871501615,2535.2763517596427,2545.1830995221235,2559.675452812285,2565.41904829896,2573.8961222783137,2586.5345458733427,2592.6448987585377,2605.247120217316,2606.8698466819615,2614.9956802828447,2624.255360993533,2640.160236606778,2643.34469119972,2640.3947773014106,2634.628066934811
